族語,方言別,縣,鄉鎮市,村里
撒奇萊雅語,撒奇萊雅語,花蓮縣,壽豐鄉,"['溪口村', '樹湖村', '豐山村', '豐裡村', '豐坪村', '壽豐村', '共和村', '光榮村', '池南村', '平和村', '志學村', '米棧村', '月眉村', '鹽寮村', '水璉村']"
撒奇萊雅語,撒奇萊雅語,花蓮縣,豐濱鄉,['磯崎村']
撒奇萊雅語,撒奇萊雅語,花蓮縣,光復鄉,"['東富村', '北富村', '南富村', '西富村', '大興村', '大全村', '大平村', '大馬村', '大同村', '大華村']"
撒奇萊雅語,撒奇萊雅語,花蓮縣,瑞穗鄉,"['奇美村', '富興村', '富民村', '富源村', '瑞北村', '鶴岡村', '舞鶴村', '瑞穗村', '瑞良村', '瑞美村', '瑞祥村']"
撒奇萊雅語,撒奇萊雅語,花蓮縣,新城鄉,"['新城村', '北埔村']"
賽德克語,都達語,花蓮縣,卓溪鄉,"['立山村', '崙山村']"
賽德克語,都達語,宜蘭縣,大同鄉,"['四季村', '南山村', '茂安村', '寒溪村', '崙埤村', '松羅村', '復興村', '英士村', '樂水村']"
賽德克語,都達語,宜蘭縣,南澳鄉,"['澳花村', '金洋村', '碧侯村', '武塔村', '金岳村', '東岳村']"
賽德克語,都達語,南投縣,仁愛鄉,"['精英村', '春陽村', '大同村']"
賽德克語,德固達雅語,花蓮縣,萬榮鄉,"['見晴村', '萬榮村', '明利村', '馬遠村', '紅葉村', '西林村']"
賽德克語,德固達雅語,南投縣,仁愛鄉,"['互助村', '南豐村']"
賽德克語,德魯固語,花蓮縣,萬榮鄉,"['西林村', '萬榮村', '明利村', '見晴村', '紅葉村', '馬遠村']"
賽德克語,德魯固語,花蓮縣,吉安鄉,"['慶豐村', '南華村', '福興村', '干城村', '東昌村', '仁里村', '宜昌村', '太昌村', '南昌村', '永興村', '仁和村', '仁安村', '永安村', '光華村', '勝安村']"
賽德克語,德魯固語,花蓮縣,卓溪鄉,"['立山村', '卓清村', '古風村', '崙山村', '山里村', '太平村', '卓溪村']"
賽德克語,德魯固語,花蓮縣,新城鄉,"['嘉里村', '康樂村', '大漢村', '嘉新村']"
賽德克語,德魯固語,南投縣,仁愛鄉,"['合作村', '精英村', '親愛村']"
